
65	3.568	3.568	4.839	0.000	127.3	0.000	-144.2	0.000	14.7	0.001
66	3.622	3.622	4.696	0.000	48.1	0.000	138.6	0.000	-145.4	0.001
67	3.676	3.676	4.559	0.000	-55.3	0.000	33.9	0.000	158.5	0
68	3.730	3.730	4.428	0.000	-140.2	0.000	-49.3	0.000	14.5	0
69	3.784	3.784	4.303	0.000	111.6	0.000	-158.5	0.000	-66.2	0
70	3.838	3.838	4.183	0.000	19.2	0.000	110.2	0.000	178.1	0
71	3.892	3.892	4.068	0.000	-96.4	0.000	-6.2	0.000	79.2	0
72	3.946	3.946	3.957	0.000	165.6	0.000	-104.0	0.000	-21.3	0
73	4.000	4.000	3.851	0.000	47.6	0.000	137.7	0.000	-134.2	0
74	4.278	4.278	3.367	0.000	-146.9	0.000	-55.4	0.000	-1.1	0
75	4.556	4.556	2.969	0.000	-33.3	0.000	58.2	0.000	130.0	0
76	4.833	4.833	2.638	0.000	10.8	0.000	100.4	0.000	-161.7	0
77	5.111	5.111	2.359	0.000	55.3	0.000	145.4	0.000	-126.5	0
78	5.389	5.389	2.122	0.000	60.0	0.000	148.2	0.000	-104.0	0
79	5.667	5.667	1.919	0.000	-54.7	0.000	35.7	0.000	87.8	0
80	5.944	5.944	1.744	0.000	56.5	0.000	147.0	0.000	-130.0	0
81	6.222	6.222	1.592	0.000	-57.3	0.000	32.8	0.000	122.4	0
82	6.500	6.500	1.458	0.000	138.6	0.000	-131.9	0.000	-31.3	0
83	6.778	6.778	1.341	0.000	-51.7	0.000	38.4	0.000	126.3	0
84	7.056	7.056	1.238	0.000	72.5	0.000	162.1	0.000	-99.7	0
85	7.333	7.333	1.146	0.000	157.3	0.000	-113.9	0.000	-4.2	0
86	7.611	7.611	1.064	0.000	-159.4	0.000	-70.5	0.000	44.7	0
87	7.889	7.889	0.990	0.000	-89.3	0.000	0.5	0.000	98.7	0
88	8.167	8.167	0.924	0.000	-56.7	0.000	32.6	0.000	140.4	0
89	8.444	8.444	0.864	0.000	-114.4	0.000	-24.7	0.000	69.1	0
90	8.722	8.722	0.810	0.000	156.8	0.000	-112.5	0.000	-33.1	0
91	9.000	9.000	0.761	0.000	15.5	0.000	105.5	0.000	-164.2	0

1	0.400	0.400	385.106	1.018	0.1	0.504	90.7	1.032	83.2	19.696
2	0.422	0.422	345.636	1.017	0.1	0.502	90.7	1.048	82.5	21.559
3	0.444	0.444	311.936	1.015	0.0	0.501	90.7	1.063	81.8	23.404
4	0.467	0.467	282.935	1.013	0.0	0.499	90.7	1.079	81.0	25.203
5	0.489	0.489	257.798	1.010	-0.1	0.496	90.8	1.095	80.2	26.926
6	0.511	0.511	235.868	1.005	-0.2	0.492	90.8	1.111	79.4	28.545
7	0.533	0.533	216.622	1.000	-0.4	0.488	90.8	1.128	78.6	30.027
8	0.556	0.556	199.639	0.992	-0.5	0.483	90.8	1.144	77.7	31.345
9	0.578	0.578	184.578	0.984	-0.7	0.477	90.8	1.160	76.8	32.47
10	0.600	0.600	171.158	0.973	-1.0	0.470	90.7	1.176	75.8	33.38
11	0.654	0.654	144.075	0.940	-1.8	0.449	90.6	1.214	73.3	34.606
12	0.708	0.708	122.945	0.893	-3.0	0.421	90.5	1.250	70.4	34.476
13	0.762	0.762	106.145	0.830	-4.9	0.385	90.2	1.284	66.9	33.511
14	0.816	0.816	92.567	0.748	-7.8	0.340	90.0	1.316	62.5	32.884
15	0.870	0.870	81.437	0.640	-12.5	0.287	89.8	1.348	56.4	33.913
16	0.924	0.924	72.200	0.495	-21.0	0.224	90.3	1.375	47.1	36.524
17	0.978	0.978	64.450	0.292	-39.5	0.154	93.0	1.367	31.3	38.147
18	1.032	1.032	57.884	0.079	-141.3	0.080	107.8	1.168	4.6	33.494
19	1.086	1.086	52.272	0.280	127.8	0.057	-177.4	0.655	-27.2	22.509
20	1.140	1.140	47.439	0.414	110.0	0.134	-149.5	0.218	-45.4	19.505
21	1.194	1.194	43.246	0.489	97.9	0.211	-155.4	0.029	17.6	19.079
22	1.248	1.248	39.586	0.471	84.7	0.241	-170.4	0.081	85.9	15.296
23	1.302	1.302	36.371	0.362	73.0	0.202	172.9	0.092	85.4	11.061
24	1.356	1.356	33.532	0.236	67.3	0.132	162.2	0.076	83.2	12.117
25	1.410	1.410	31.014	0.128	70.3	0.069	161.6	0.051	81.4	11.427
26	1.463	1.463	28.769	0.053	94.9	0.026	-176.8	0.028	80.7	9.972
27	1.517	1.517	26.759	0.038	167.1	0.017	-100.2	0.009	86.4	9.023
28	1.571	1.571	24.952	0.054	-160.7	0.025	-68.5	0.004	-141.5	8.083
29	1.625	1.625	23.323	0.057	-149.4	0.025	-58.2	0.009	-123.8	7.149
30	1.679	1.679	21.848	0.046	-142.4	0.020	-51.8	0.010	-123.9	6.556
31	1.733	1.733	20.509	0.028	-135.1	0.011	-45.2	0.008	-125.4	5.692
32	1.787	1.787	19.289	0.010	-112.9	0.004	-24.7	0.004	-127.5	4.963
33	1.841	1.841	18.175	0.008	3.2	0.003	93.9	0.000	-128.4	4.241
34	1.895	1.895	17.154	0.016	23.1	0.005	113.7	0.002	46.2	3.633
35	1.949	1.949	16.218	0.016	26.9	0.005	117.3	0.003	42.8	3.102
36	2.003	2.003	15.355	0.011	27.4	0.003	117.6	0.003	38.2	2.622
37	2.057	2.057	14.560	0.003	26.9	0.001	116.4	0.001	28.6	2.169
38	2.111	2.111	13.825	0.004	-157.8	0.001	-66.8	0.000	-112.3	1.749
39	2.165	2.165	13.145	0.007	-161.3	0.001	-70.7	0.001	-141.5	1.462
40	2.219	2.219	12.513	0.007	-166.9	0.001	-76.3	0.001	-151.4	1.209
41	2.273	2.273	11.926	0.003	-177.7	0.000	-87.3	0.001	-167.8	0.958
42	2.327	2.327	11.379	0.001	34.3	0.000	126.7	0.000	86.8	0.744
43	2.381	2.381	10.869	0.004	8.5	0.000	99.5	0.001	34.7	0.611
44	2.435	2.435	10.393	0.004	0.2	0.000	90.8	0.001	13.9	0.49
45	2.489	2.489	9.947	0.002	-12.9	0.000	76.4	0.000	-24.0	0.371
46	2.543	2.543	9.529	0.001	-166.0	0.000	106.4	0.000	-115.6	0.285
47	2.597	2.597	9.137	0.002	-179.8	0.000	90.8	0.000	-166.4	0.231
48	2.651	2.651	8.769	0.002	169.6	0.000	79.0	0.000	159.0	0.178
49	2.705	2.705	8.423	0.000	63.2	0.000	-22.6	0.000	104.9	0.129
50	2.759	2.759	8.096	0.001	7.5	0.000	-82.4	0.000	10.4	0.103
51	2.813	2.813	7.789	0.001	-15.6	0.000	-106.2	0.000	-24.3	0.083
52	2.867	2.867	7.498	0.001	-84.1	0.000	-172.7	0.000	-64.8	0.057
53	2.921	2.921	7.223	0.001	-156.6	0.000	111.9	0.000	-177.8	0.045
54	2.975	2.975	6.964	0.001	144.2	0.000	55.0	0.000	152.9	0.037
55	3.029	3.029	6.718	0.001	105.0	0.000	14.5	0.000	90.8	0.024
56	3.083	3.083	6.485	0.000	25.5	0.000	-68.9	0.000	-2.3	0.021
57	3.137	3.137	6.263	0.001	-52.1	0.000	-141.3	0.000	-37.4	0.015
58	3.190	3.190	6.053	0.000	-61.9	0.000	-154.9	0.000	-138.8	0.011
59	3.244	3.244	5.854	0.000	143.3	0.000	56.3	0.000	173.5	0.009
60	3.298	3.298	5.664	0.001	134.9	0.000	43.4	0.000	83.9	0.006
61	3.352	3.352	5.483	0.000	111.2	0.000	8.9	0.000	28.9	0.005
62	3.406	3.406	5.310	0.000	-28.7	0.000	-119.7	0.000	-66.8	0.003
63	3.460	3.460	5.146	0.000	-40.4	0.000	-135.4	0.000	-125.2	0.003
64	3.514	3.514	4.989	0.000	-179.7	0.000	89.7	0.000	153.0	0.002
65	3.568	3.568	4.839	0.000	161.7	0.000	67.4	0.000	69.2	0.002
66	3.622	3.622	4.696	0.000	33.5	0.000	123.5	0.000	29.2	0.001
67	3.676	3.676	4.559	0.000	10.3	0.000	96.7	0.000	-102.3	0.001
68	3.730	3.730	4.428	0.000	-125.0	0.000	-34.9	0.000	-117.4	0
69	3.784	3.784	4.303	0.000	-141.5	0.000	-53.8	0.000	83.3	0.001
70	3.838	3.838	4.183	0.000	66.6	0.000	156.7	0.000	157.1	0
71	3.892	3.892	4.068	0.000	64.4	0.000	153.3	0.000	-92.6	0
72	3.946	3.946	3.957	0.000	-105.9	0.000	-16.0	0.000	77.7	0
73	4.000	4.000	3.851	0.000	-85.5	0.000	4.8	0.000	89.0	0
74	4.278	4.278	3.367	0.000	-175.1	0.000	-77.9	0.000	-65.9	0
75	4.556	4.556	2.969	0.000	107.5	0.000	22.0	0.000	167.0	0
76	4.833	4.833	2.638	0.000	-20.6	0.000	-109.6	0.000	39.8	0
77	5.111	5.111	2.359	0.000	-162.6	0.000	-74.5	0.000	134.6	0
78	5.389	5.389	2.122	0.000	-54.7	0.000	36.5	0.000	-36.1	0.001
79	5.667	5.667	1.919	0.008	-143.2	0.000	-54.0	0.000	123.5	0.023
80	5.944	5.944	1.744	0.000	-11.1	0.000	-102.1	0.000	-36.8	0
81	6.222	6.222	1.592	0.000	49.5	0.000	-41.9	0.000	-8.3	0
82	6.500	6.500	1.458	0.000	134.2	0.000	-142.1	0.000	30.9	0
